ISO,WEO Subject Code,Country,Subject Descriptor,Units,Scale,2017,2018,2019,2020
SLV,TM_RPCH,El Salvador,Volume of imports of goods and services,Percent change,,-0.761,4.285,0.923,-12.273
SLV,TMG_RPCH,El Salvador,Volume of Imports of goods,Percent change,,-0.442,1.585,3.559,-10.618
SLV,TX_RPCH,El Salvador,Volume of exports of goods and services,Percent change,,3.358,1.181,8.159,-24.416
SLV,TXG_RPCH,El Salvador,Volume of exports of goods,Percent change,,6.013,-1.651,1.418,-17.392
SLV,LUR,El Salvador,Unemployment rate,Percent of total labor force,,7.05,6.35,6.34,6.9
SLV,LE,El Salvador,Employment,Persons,Millions,,n/a,,
SLV,LP,El Salvador,Population,Persons,Millions,6.267,6.276,6.28,6.293
SLV,GGR,El Salvador,General government revenue,National currency,Billions,6.304,6.39,6.488,6.11
SLV,GGR_NGDP,El Salvador,General government revenue,Percent of GDP,,25.235,24.557,24.138,24.507
SLV,GGX,El Salvador,General government total expenditure,National currency,Billions,6.935,7.094,7.314,8.148
SLV,GGX_NGDP,El Salvador,General government total expenditure,Percent of GDP,,27.763,27.263,27.208,32.684
SLV,GGXCNL,El Salvador,General government net lending/borrowing,National currency,Billions,-0.632,-0.704,-0.825,-2.039
SLV,GGXCNL_NGDP,El Salvador,General government net lending/borrowing,Percent of GDP,,-2.528,-2.706,-3.07,-8.177
SLV,GGSB,El Salvador,General government structural balance,National currency,Billions,-0.628,-0.694,-0.81,-1.04
SLV,GGSB_NPGDP,El Salvador,General government structural balance,Percent of potential GDP,,-2.513,-2.664,-3.006,-3.812
SLV,GGXONLB,El Salvador,General government primary net lending/borrowing,National currency,Billions,0.168,0.234,0.166,-0.957
SLV,GGXONLB_NGDP,El Salvador,General government primary net lending/borrowing,Percent of GDP,,0.674,0.899,0.617,-3.839
SLV,GGXWDN,El Salvador,General government net debt,National currency,Billions,,,,
SLV,GGXWDN_NGDP,El Salvador,General government net debt,Percent of GDP,,,,,
SLV,GGXWDG,El Salvador,General government gross debt,National currency,Billions,17.617,18.307,19.174,21.96
SLV,GGXWDG_NGDP,El Salvador,General government gross debt,Percent of GDP,,70.526,70.354,71.33,88.085
SLV,NGDP_FY,El Salvador,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,24.979,26.021,26.881,24.93
SLV,BCA,El Salvador,Current account balance,U.S. dollars,Billions,-0.465,-0.859,-0.113,0.403
SLV,BCA_NGDPD,El Salvador,Current account balance,Percent of GDP,,-1.86,-3.302,-0.422,1.617
GNQ,NGDP_R,Equatorial Guinea,"Gross domestic product, constant prices",National currency,Billions,"5,740.41","5,382.40","5,087.35","4,843.79"
GNQ,NGDP_RPCH,Equatorial Guinea,"Gross domestic product, constant prices",Percent change,,-5.668,-6.237,-5.482,-4.788
GNQ,NGDP,Equatorial Guinea,"Gross domestic product, current prices",National currency,Billions,"7,084.54","7,274.69","6,658.37","5,694.74"
GNQ,NGDPD,Equatorial Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,12.201,13.097,11.364,9.894
GNQ,PPPGDP,Equatorial Guinea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,28.459,27.326,26.291,25.359
GNQ,NGDP_D,Equatorial Guinea,"Gross domestic product, deflator",Index,,123.415,135.157,130.881,117.568
GNQ,NGDPRPC,Equatorial Guinea,"Gross domestic product per capita, constant prices",National currency,Units,"4,528,245.76","4,096,528.26","3,740,412.52","3,444,401.47"
GNQ,NGDPRPPPPC,Equatorial Guinea,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"22,449.90","20,309.55","18,544.02","17,076.47"
GNQ,NGDPPC,Equatorial Guinea,"Gross domestic product per capita, current prices",National currency,Units,"5,588,549.72","5,536,739.67","4,895,486.80","4,049,507.99"
GNQ,NGDPDPC,Equatorial Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"9,624.53","9,968.09","8,355.34","7,035.45"
GNQ,PPPPC,Equatorial Guinea,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"22,449.90","20,797.84","19,330.46","18,032.98"
GNQ,NGAP_NPGDP,Equatorial Guinea,Output gap in percent of potential GDP,Percent of potential GDP,,,,,
GNQ,PPPSH,Equatorial Guinea,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.023,0.021,0.019,0.019
GNQ,PPPEX,Equatorial Guinea,Implied PPP conversion rate,National currency per current international dollar,,248.934,266.217,253.253,224.561
GNQ,NID_NGDP,Equatorial Guinea,Total investment,Percent of GDP,,14.032,12.501,10.892,4.662
GNQ,NGSD_NGDP,Equatorial Guinea,Gross national savings,Percent of GDP,,6.217,9.775,3.351,3.872
GNQ,PCPI,Equatorial Guinea,"Inflation, average consumer prices",Index,,134.96,136.776,138.478,145.078
GNQ,PCPIPCH,Equatorial Guinea,"Inflation, average consumer prices",Percent change,,0.746,1.346,1.244,4.766
GNQ,PCPIE,Equatorial Guinea,"Inflation, end of period consumer prices",Index,,132.492,135.923,141.773,140.868
GNQ,PCPIEPCH,Equatorial Guinea,"Inflation, end of period consumer prices",Percent change,,-0.225,2.59,4.304,-0.638
GNQ,TM_RPCH,Equatorial Guinea,Volume of imports of goods and services,Percent change,,8.33,6.197,-11.239,-10.829
GNQ,TMG_RPCH,Equatorial Guinea,Volume of Imports of goods,Percent change,,-6.458,16.046,-22.889,-6.577
GNQ,TX_RPCH,Equatorial Guinea,Volume of exports of goods and services,Percent change,,-16.271,-6.708,-20.147,23.432
GNQ,TXG_RPCH,Equatorial Guinea,Volume of exports of goods,Percent change,,-18.332,-1.96,-19.094,18.67
GNQ,LUR,Equatorial Guinea,Unemployment rate,Percent of total labor force,,,,,
GNQ,LE,Equatorial Guinea,Employment,Persons,Millions,,n/a,,
GNQ,LP,Equatorial Guinea,Population,Persons,Millions,1.268,1.314,1.36,1.406
GNQ,GGR,Equatorial Guinea,General government revenue,National currency,Billions,"1,238.35","1,446.51","1,239.98",819.733
GNQ,GGR_NGDP,Equatorial Guinea,General government revenue,Percent of GDP,,17.48,19.884,18.623,14.395
GNQ,GGX,Equatorial Guinea,General government total expenditure,National currency,Billions,"1,421.84","1,407.90","1,118.56",920.589
GNQ,GGX_NGDP,Equatorial Guinea,General government total expenditure,Percent of GDP,,20.07,19.353,16.799,16.166
GNQ,GGXCNL,Equatorial Guinea,General government net lending/borrowing,National currency,Billions,-183.492,38.606,121.419,-100.856
GNQ,GGXCNL_NGDP,Equatorial Guinea,General government net lending/borrowing,Percent of GDP,,-2.59,0.531,1.824,-1.771
GNQ,GGSB,Equatorial Guinea,General government structural balance,National currency,Billions,,,,
GNQ,GGSB_NPGDP,Equatorial Guinea,General government structural balance,Percent of potential GDP,,,,,
GNQ,GGXONLB,Equatorial Guinea,General government primary net lending/borrowing,National currency,Billions,-153.528,86.187,178.812,-24.637
GNQ,GGXONLB_NGDP,Equatorial Guinea,General government primary net lending/borrowing,Percent of GDP,,-2.167,1.185,2.686,-0.433
GNQ,GGXWDN,Equatorial Guinea,General government net debt,National currency,Billions,"2,174.72","2,227.44","2,119.84","2,186.26"
GNQ,GGXWDN_NGDP,Equatorial Guinea,General government net debt,Percent of GDP,,30.697,30.619,31.837,38.391
GNQ,GGXWDG,Equatorial Guinea,General government gross debt,National currency,Billions,"2,567.09","2,997.71","2,875.71","2,812.38"
GNQ,GGXWDG_NGDP,Equatorial Guinea,General government gross debt,Percent of GDP,,36.235,41.207,43.189,49.386
GNQ,NGDP_FY,Equatorial Guinea,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"7,084.54","7,274.69","6,658.37","5,694.74"
GNQ,BCA,Equatorial Guinea,Current account balance,U.S. dollars,Billions,-0.953,-0.357,-0.857,-0.078
GNQ,BCA_NGDPD,Equatorial Guinea,Current account balance,Percent of GDP,,-7.814,-2.726,-7.541,-0.79
ERI,NGDP_R,Eritrea,"Gross domestic product, constant prices",National currency,Billions,29.093,32.884,34.145,n/a
ERI,NGDP_RPCH,Eritrea,"Gross domestic product, constant prices",Percent change,,-10.015,13.032,3.836,n/a
ERI,NGDP,Eritrea,"Gross domestic product, current prices",National currency,Billions,28.702,30.235,29.876,n/a
ERI,NGDPD,Eritrea,"Gross domestic product, current prices",U.S. dollars,Billions,1.904,2.006,1.982,n/a
ERI,PPPGDP,Eritrea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,5.247,6.074,6.42,n/a
ERI,NGDP_D,Eritrea,"Gross domestic product, deflator",Index,,98.658,91.945,87.498,n/a
ERI,NGDPRPC,Eritrea,"Gross domestic product per capita, constant prices",National currency,Units,"8,524.06","9,523.31","9,764.20",n/a
ERI,NGDPRPPPPC,Eritrea,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"1,537.45","1,717.68","1,761.13",n/a
ERI,NGDPPC,Eritrea,"Gross domestic product per capita, current prices",National currency,Units,"8,409.70","8,756.24","8,543.46",n/a
ERI,NGDPDPC,Eritrea,"Gross domestic product per capita, current prices",U.S. dollars,Units,557.857,580.845,566.731,n/a
ERI,PPPPC,Eritrea,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"1,537.45","1,758.98","1,835.82",n/a
ERI,NGAP_NPGDP,Eritrea,Output gap in percent of potential GDP,Percent of potential GDP,,,,,
ERI,PPPSH,Eritrea,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.004,0.005,0.005,n/a
ERI,PPPEX,Eritrea,Implied PPP conversion rate,National currency per current international dollar,,5.47,4.978,4.654,n/a
ERI,NID_NGDP,Eritrea,Total investment,Percent of GDP,,8.657,2.927,5.006,n/a
ERI,NGSD_NGDP,Eritrea,Gross national savings,Percent of GDP,,33.413,18.442,17.993,n/a
ERI,PCPI,Eritrea,"Inflation, average consumer prices",Index,,289.028,247.405,250.622,n/a
ERI,PCPIPCH,Eritrea,"Inflation, average consumer prices",Percent change,,-13.306,-14.401,1.3,n/a
ERI,PCPIE,Eritrea,"Inflation, end of period consumer prices",Index,,261.5,184.94,195.297,n/a
ERI,PCPIEPCH,Eritrea,"Inflation, end of period consumer prices",Percent change,,-18.164,-29.277,5.6,n/a
ERI,TM_RPCH,Eritrea,Volume of imports of goods and services,Percent change,,-3.285,11.736,3.701,n/a
ERI,TMG_RPCH,Eritrea,Volume of Imports of goods,Percent change,,-10.758,14.754,5.365,n/a
ERI,TX_RPCH,Eritrea,Volume of exports of goods and services,Percent change,,68.592,24.424,29.801,n/a
ERI,TXG_RPCH,Eritrea,Volume of exports of goods,Percent change,,74.868,25.107,29.801,n/a
ERI,LUR,Eritrea,Unemployment rate,Percent of total labor force,,,,,
ERI,LE,Eritrea,Employment,Persons,Millions,,n/a,,
ERI,LP,Eritrea,Population,Persons,Millions,3.413,3.453,3.497,n/a
ERI,GGR,Eritrea,General government revenue,National currency,Billions,10.55,9.549,10.15,n/a
ERI,GGR_NGDP,Eritrea,General government revenue,Percent of GDP,,36.755,31.581,33.973,n/a
ERI,GGX,Eritrea,General government total expenditure,National currency,Billions,12.196,7.969,9.338,n/a
ERI,GGX_NGDP,Eritrea,General government total expenditure,Percent of GDP,,42.491,26.357,31.256,n/a
ERI,GGXCNL,Eritrea,General government net lending/borrowing,National currency,Billions,-1.647,1.579,0.812,n/a
ERI,GGXCNL_NGDP,Eritrea,General government net lending/borrowing,Percent of GDP,,-5.736,5.224,2.717,n/a
ERI,GGSB,Eritrea,General government structural balance,National currency,Billions,,,,
ERI,GGSB_NPGDP,Eritrea,General government structural balance,Percent of potential GDP,,,,,
ERI,GGXONLB,Eritrea,General government primary net lending/borrowing,National currency,Billions,-1.041,2.014,1.338,n/a
ERI,GGXONLB_NGDP,Eritrea,General government primary net lending/borrowing,Percent of GDP,,-3.626,6.661,4.479,n/a
ERI,GGXWDN,Eritrea,General government net debt,National currency,Billions,,,,
ERI,GGXWDN_NGDP,Eritrea,General government net debt,Percent of GDP,,,,,
ERI,GGXWDG,Eritrea,General government gross debt,National currency,Billions,83.347,80.756,77.796,n/a
ERI,GGXWDG_NGDP,Eritrea,General government gross debt,Percent of GDP,,290.386,267.092,260.393,n/a
ERI,NGDP_FY,Eritrea,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,28.702,30.235,29.876,n/a
ERI,BCA,Eritrea,Current account balance,U.S. dollars,Billions,0.471,0.311,0.257,n/a
ERI,BCA_NGDPD,Eritrea,Current account balance,Percent of GDP,,24.756,15.514,12.988,n/a
EST,NGDP_R,Estonia,"Gross domestic product, constant prices",National currency,Billions,22.515,23.367,24.31,24.075
EST,NGDP_RPCH,Estonia,"Gross domestic product, constant prices",Percent change,,5.792,3.784,4.034,-0.965
EST,NGDP,Estonia,"Gross domestic product, current prices",National currency,Billions,23.834,25.932,27.951,27.43
EST,NGDPD,Estonia,"Gross domestic product, current prices",U.S. dollars,Billions,26.915,30.639,31.294,31.305
EST,PPPGDP,Estonia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,44.663,47.468,50.268,50.433
EST,NGDP_D,Estonia,"Gross domestic product, deflator",Index,,105.856,110.977,114.979,113.936
EST,NGDPRPC,Estonia,"Gross domestic product per capita, constant prices",National currency,Units,"17,090.75","17,675.88","18,320.67","18,107.99"
EST,NGDPRPPPPC,Estonia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"33,903.13","35,063.86","36,342.93","35,921.04"
EST,NGDPPC,Estonia,"Gross domestic product per capita, current prices",National currency,Units,"18,091.64","19,616.21","21,064.94","20,631.47"
EST,NGDPDPC,Estonia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"20,430.57","23,176.36","23,584.26","23,546.32"
EST,PPPPC,Estonia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"33,903.13","35,906.87","37,884.21","37,933.08"
EST,NGAP_NPGDP,Estonia,Output gap in percent of potential GDP,Percent of potential GDP,,1.22,1.079,2.011,-2.493
EST,PPPSH,Estonia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.036,0.037,0.037,0.038
EST,PPPEX,Estonia,Implied PPP conversion rate,National currency per current international dollar,,0.534,0.546,0.556,0.544
EST,NID_NGDP,Estonia,Total investment,Percent of GDP,,26.463,28.03,26.541,29.699
EST,NGSD_NGDP,Estonia,Gross national savings,Percent of GDP,,28.727,28.905,28.894,28.706
EST,PCPI,Estonia,"Inflation, average consumer prices",Index,,104.48,108.045,110.496,109.795
EST,PCPIPCH,Estonia,"Inflation, average consumer prices",Percent change,,3.651,3.412,2.268,-0.634
EST,PCPIE,Estonia,"Inflation, end of period consumer prices",Index,,105.15,108.64,110.59,109.62
EST,PCPIEPCH,Estonia,"Inflation, end of period consumer prices",Percent change,,3.76,3.319,1.795,-0.877
EST,TM_RPCH,Estonia,Volume of imports of goods and services,Percent change,,3.991,5.928,3.735,1.301
EST,TMG_RPCH,Estonia,Volume of Imports of goods,Percent change,,4.997,5.029,2.939,-1.905
EST,TX_RPCH,Estonia,Volume of exports of goods and services,Percent change,,4.832,2.899,5.031,-5.454
EST,TXG_RPCH,Estonia,Volume of exports of goods,Percent change,,3.246,0.844,4.633,1.657
EST,LUR,Estonia,Unemployment rate,Percent of total labor force,,5.763,5.371,4.448,6.806
EST,LE,Estonia,Employment,Persons,Millions,0.659,0.665,0.671,0.657
EST,LP,Estonia,Population,Persons,Millions,1.317,1.322,1.327,1.33
EST,GGR,Estonia,General government revenue,National currency,Billions,9.107,9.89,10.97,10.821
EST,GGR_NGDP,Estonia,General government revenue,Percent of GDP,,38.21,38.138,39.246,39.451
EST,GGX,Estonia,General government total expenditure,National currency,Billions,9.351,10.184,10.936,12.323
EST,GGX_NGDP,Estonia,General government total expenditure,Percent of GDP,,39.236,39.271,39.126,44.927
EST,GGXCNL,Estonia,General government net lending/borrowing,National currency,Billions,-0.245,-0.294,0.034,-1.502
EST,GGXCNL_NGDP,Estonia,General government net lending/borrowing,Percent of GDP,,-1.026,-1.133,0.12,-5.475
EST,GGSB,Estonia,General government structural balance,National currency,Billions,0,-0.35,-0.13,-1.447
EST,GGSB_NPGDP,Estonia,General government structural balance,Percent of potential GDP,,0,-1.366,-0.474,-5.143
EST,GGXONLB,Estonia,General government primary net lending/borrowing,National currency,Billions,-0.252,-0.3,0.028,-1.501
EST,GGXONLB_NGDP,Estonia,General government primary net lending/borrowing,Percent of GDP,,-1.057,-1.158,0.101,-5.473
EST,GGXWDN,Estonia,General government net debt,National currency,Billions,-0.433,-0.461,-0.609,0.819
EST,GGXWDN_NGDP,Estonia,General government net debt,Percent of GDP,,-1.818,-1.777,-2.18,2.985
EST,GGXWDG,Estonia,General government gross debt,National currency,Billions,2.174,2.127,2.373,5.094
EST,GGXWDG_NGDP,Estonia,General government gross debt,Percent of GDP,,9.122,8.204,8.491,18.572
EST,NGDP_FY,Estonia,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,23.834,25.932,27.951,27.43
EST,BCA,Estonia,Current account balance,U.S. dollars,Billions,0.609,0.268,0.736,-0.311
EST,BCA_NGDPD,Estonia,Current account balance,Percent of GDP,,2.264,0.876,2.353,-0.993
SWZ,NGDP_R,Eswatini,"Gross domestic product, constant prices",National currency,Billions,40.76,41.726,42.854,42.186
SWZ,NGDP_RPCH,Eswatini,"Gross domestic product, constant prices",Percent change,,2.027,2.369,2.704,-1.56
SWZ,NGDP,Eswatini,"Gross domestic product, current prices",National currency,Billions,58.689,61.768,64.965,65.588
SWZ,NGDPD,Eswatini,"Gross domestic product, current prices",U.S. dollars,Billions,4.407,4.665,4.495,3.984
SWZ,PPPGDP,Eswatini,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,9.457,9.914,10.365,10.336
SWZ,NGDP_D,Eswatini,"Gross domestic product, deflator",Index,,143.986,148.034,151.596,155.476
SWZ,NGDPRPC,Eswatini,"Gross domestic product per capita, constant prices",National currency,Units,"37,284.00","37,793.01","38,434.27","37,434.29"
SWZ,NGDPRPPPPC,Eswatini,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"8,650.84","8,768.94","8,917.73","8,685.71"
SWZ,NGDPPC,Eswatini,"Gross domestic product per capita, current prices",National currency,Units,"53,683.59","55,946.37","58,264.72","58,201.44"
SWZ,NGDPDPC,Eswatini,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,031.06","4,225.74","4,031.72","3,535.09"
SWZ,PPPPC,Eswatini,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"8,650.84","8,979.77","9,295.92","9,172.22"
SWZ,NGAP_NPGDP,Eswatini,Output gap in percent of potential GDP,Percent of potential GDP,,,,,
SWZ,PPPSH,Eswatini,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.008,0.008,0.008,0.008
SWZ,PPPEX,Eswatini,Implied PPP conversion rate,National currency per current international dollar,,6.206,6.23,6.268,6.345
SWZ,NID_NGDP,Eswatini,Total investment,Percent of GDP,,12.831,13.25,13.57,12.264
SWZ,NGSD_NGDP,Eswatini,Gross national savings,Percent of GDP,,19.076,14.595,17.459,19.328
SWZ,PCPI,Eswatini,"Inflation, average consumer prices",Index,,312.372,327.413,335.919,348.925
SWZ,PCPIPCH,Eswatini,"Inflation, average consumer prices",Percent change,,6.221,4.815,2.598,3.872
SWZ,PCPIE,Eswatini,"Inflation, end of period consumer prices",Index,,314.479,330.895,337.522,353.01
SWZ,PCPIEPCH,Eswatini,"Inflation, end of period consumer prices",Percent change,,4.706,5.22,2.003,4.589
SWZ,TM_RPCH,Eswatini,Volume of imports of goods and services,Percent change,,7.272,4.602,1.526,-1.334
SWZ,TMG_RPCH,Eswatini,Volume of Imports of goods,Percent change,,1.308,10.638,1.526,-1.334
SWZ,TX_RPCH,Eswatini,Volume of exports of goods and services,Percent change,,3.965,-2.808,16.283,-2.401
SWZ,TXG_RPCH,Eswatini,Volume of exports of goods,Percent change,,1.436,0.769,16.283,-2.401
SWZ,LUR,Eswatini,Unemployment rate,Percent of total labor force,,,,,
SWZ,LE,Eswatini,Employment,Persons,Millions,,n/a,,
SWZ,LP,Eswatini,Population,Persons,Millions,1.093,1.104,1.115,1.127
SWZ,GGR,Eswatini,General government revenue,National currency,Billions,16.785,15.684,17.793,19.289
SWZ,GGR_NGDP,Eswatini,General government revenue,Percent of GDP,,28.23,25.068,27.323,28.91
SWZ,GGX,Eswatini,General government total expenditure,National currency,Billions,20.857,21.652,22.148,22.319
SWZ,GGX_NGDP,Eswatini,General government total expenditure,Percent of GDP,,35.078,34.605,34.01,33.451
SWZ,GGXCNL,Eswatini,General government net lending/borrowing,National currency,Billions,-4.072,-5.968,-4.355,-3.03
SWZ,GGXCNL_NGDP,Eswatini,General government net lending/borrowing,Percent of GDP,,-6.848,-9.538,-6.687,-4.541
SWZ,GGSB,Eswatini,General government structural balance,National currency,Billions,,,,
SWZ,GGSB_NPGDP,Eswatini,General government structural balance,Percent of potential GDP,,,,,
SWZ,GGXONLB,Eswatini,General government primary net lending/borrowing,National currency,Billions,-3.38,-5.146,-3.012,-1.586
SWZ,GGXONLB_NGDP,Eswatini,General government primary net lending/borrowing,Percent of GDP,,-5.685,-8.224,-4.625,-2.377
SWZ,GGXWDN,Eswatini,General government net debt,National currency,Billions,12.376,17.607,21.955,20.95
SWZ,GGXWDN_NGDP,Eswatini,General government net debt,Percent of GDP,,20.815,28.141,33.714,31.399
SWZ,GGXWDG,Eswatini,General government gross debt,National currency,Billions,16.428,21.187,25.732,27.513
SWZ,GGXWDG_NGDP,Eswatini,General government gross debt,Percent of GDP,,27.628,33.863,39.514,41.235
SWZ,NGDP_FY,Eswatini,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,59.459,62.567,65.121,66.722
SWZ,BCA,Eswatini,Current account balance,U.S. dollars,Billions,0.275,0.063,0.175,0.281
SWZ,BCA_NGDPD,Eswatini,Current account balance,Percent of GDP,,6.245,1.345,3.89,7.064
ETH,NGDP_R,Ethiopia,"Gross domestic product, constant prices",National currency,Billions,"1,597.38","1,720.42","1,875.89","1,989.52"
ETH,NGDP_RPCH,Ethiopia,"Gross domestic product, constant prices",Percent change,,10.21,7.703,9.037,6.057
ETH,NGDP,Ethiopia,"Gross domestic product, current prices",National currency,Billions,"1,832.79","2,200.12","2,690.75","3,374.35"
ETH,NGDPD,Ethiopia,"Gross domestic product, current prices",U.S. dollars,Billions,76.841,80.207,92.608,96.611
ETH,PPPGDP,Ethiopia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,215.094,237.232,263.31,282.904
ETH,NGDP_D,Ethiopia,"Gross domestic product, deflator",Index,,114.737,127.883,143.438,169.606
ETH,NGDPRPC,Ethiopia,"Gross domestic product per capita, constant prices",National currency,Units,"17,102.53","18,014.84","19,220.21","19,955.06"
ETH,NGDPRPPPPC,Ethiopia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"2,302.94","2,425.78","2,588.09","2,687.04"
ETH,NGDPPC,Ethiopia,"Gross domestic product per capita, current prices",National currency,Units,"19,622.98","23,037.91","27,569.17","33,845.03"
ETH,NGDPDPC,Ethiopia,"Gross domestic product per capita, current prices",U.S. dollars,Units,822.704,839.861,948.851,969.014
ETH,PPPPC,Ethiopia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,302.94","2,484.10","2,697.85","2,837.55"
ETH,NGAP_NPGDP,Ethiopia,Output gap in percent of potential GDP,Percent of potential GDP,,,,,
ETH,PPPSH,Ethiopia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.176,0.183,0.194,0.212
ETH,PPPEX,Ethiopia,Implied PPP conversion rate,National currency per current international dollar,,8.521,9.274,10.219,11.928
ETH,NID_NGDP,Ethiopia,Total investment,Percent of GDP,,38.444,34.163,35.264,30.752
ETH,NGSD_NGDP,Ethiopia,Gross national savings,Percent of GDP,,30.256,32.33,29.913,26.582
ETH,PCPI,Ethiopia,"Inflation, average consumer prices",Index,,110.687,125.999,145.918,175.618
ETH,PCPIPCH,Ethiopia,"Inflation, average consumer prices",Percent change,,10.687,13.833,15.81,20.354
ETH,PCPIE,Ethiopia,"Inflation, end of period consumer prices",Index,,116.504,128.831,153.972,181.948
ETH,PCPIEPCH,Ethiopia,"Inflation, end of period consumer prices",Percent change,,16.504,10.581,19.515,18.169
ETH,TM_RPCH,Ethiopia,Volume of imports of goods and services,Percent change,,-3.688,-4.687,-8.81,-4.622
ETH,TMG_RPCH,Ethiopia,Volume of Imports of goods,Percent change,,-4.603,-8.18,-3.197,-3.48
ETH,TX_RPCH,Ethiopia,Volume of exports of goods and services,Percent change,,3.965,14.879,8.618,-8.058
ETH,TXG_RPCH,Ethiopia,Volume of exports of goods,Percent change,,-2.122,-0.499,-5.735,2.23
ETH,LUR,Ethiopia,Unemployment rate,Percent of total labor force,,,,,
ETH,LE,Ethiopia,Employment,Persons,Millions,,n/a,,
ETH,LP,Ethiopia,Population,Persons,Millions,93.4,95.5,97.6,99.7
ETH,GGR,Ethiopia,General government revenue,National currency,Billions,270.214,287.562,344.937,394.966
ETH,GGR_NGDP,Ethiopia,General government revenue,Percent of GDP,,14.743,13.07,12.819,11.705
ETH,GGX,Ethiopia,General government total expenditure,National currency,Billions,329.658,354.205,413.105,488.243
ETH,GGX_NGDP,Ethiopia,General government total expenditure,Percent of GDP,,17.987,16.099,15.353,14.469
ETH,GGXCNL,Ethiopia,General government net lending/borrowing,National currency,Billions,-59.444,-66.643,-68.168,-93.277
ETH,GGXCNL_NGDP,Ethiopia,General government net lending/borrowing,Percent of GDP,,-3.243,-3.029,-2.533,-2.764
ETH,GGSB,Ethiopia,General government structural balance,National currency,Billions,,,,
ETH,GGSB_NPGDP,Ethiopia,General government structural balance,Percent of potential GDP,,,,,
ETH,GGXONLB,Ethiopia,General government primary net lending/borrowing,National currency,Billions,-51.196,-55.073,-54.642,-79.796
ETH,GGXONLB_NGDP,Ethiopia,General government primary net lending/borrowing,Percent of GDP,,-2.793,-2.503,-2.031,-2.365
ETH,GGXWDN,Ethiopia,General government net debt,National currency,Billions,939.729,"1,204.25","1,392.47","1,696.77"
ETH,GGXWDN_NGDP,Ethiopia,General government net debt,Percent of GDP,,51.273,54.736,51.75,50.284
ETH,GGXWDG,Ethiopia,General government gross debt,National currency,Billions,"1,011.90","1,284.57","1,500.98","1,818.77"
ETH,GGXWDG_NGDP,Ethiopia,General government gross debt,Percent of GDP,,55.211,58.386,55.783,53.9
ETH,NGDP_FY,Ethiopia,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"1,832.79","2,200.12","2,690.75","3,374.35"
ETH,BCA,Ethiopia,Current account balance,U.S. dollars,Billions,-6.499,-5.233,-4.934,-4.444
ETH,BCA_NGDPD,Ethiopia,Current account balance,Percent of GDP,,-8.457,-6.525,-5.328,-4.6
FJI,NGDP_R,Fiji,"Gross domestic product, constant prices",National currency,Billions,10.339,10.733,10.671,8.853
FJI,NGDP_RPCH,Fiji,"Gross domestic product, constant prices",Percent change,,5.353,3.812,-0.581,-17.04
FJI,NGDP,Fiji,"Gross domestic product, current prices",National currency,Billions,11.065,11.651,11.762,9.613
FJI,NGDPD,Fiji,"Gross domestic product, current prices",U.S. dollars,Billions,5.353,5.581,5.444,4.432
FJI,PPPGDP,Fiji,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,11.784,12.527,12.678,10.655
FJI,NGDP_D,Fiji,"Gross domestic product, deflator",Index,,107.018,108.544,110.223,108.589
FJI,NGDPRPC,Fiji,"Gross domestic product per capita, constant prices",National currency,Units,"11,684.34","12,062.88","11,926.70","9,839.83"
FJI,NGDPRPPPPC,Fiji,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"13,316.59","13,748.01","13,592.81","11,214.41"
